BufId,SpillCost,Time
81.0,192.0,378
231.0,192.0,379
233.0,192.0,380
235.0,192.0,381
237.0,192.0,382
255.0,192.0,383
257.0,192.0,384
259.0,192.0,385
261.0,192.0,386
296.0,192.0,387
298.0,192.0,388
300.0,192.0,389
302.0,192.0,390
336.0,192.0,391
338.0,192.0,392
340.0,192.0,393
342.0,192.0,394
431.0,192.0,395
433.0,192.0,396
435.0,192.0,397
108.0,192.0,398
35.0,288.0,400
36.0,288.0,402
49.0,288.0,404
50.0,288.0,406
51.0,288.0,408
52.0,288.0,410
61.0,288.0,412
62.0,288.0,414
63.0,288.0,416
64.0,288.0,418
73.0,288.0,420
74.0,288.0,422
75.0,288.0,424
76.0,288.0,426
85.0,288.0,428
86.0,288.0,430
87.0,288.0,432
88.0,288.0,434
97.0,288.0,436
98.0,288.0,438
99.0,288.0,440
100.0,288.0,442
109.0,288.0,444
110.0,288.0,446
111.0,288.0,448
112.0,288.0,450
121.0,288.0,452
122.0,288.0,454
123.0,288.0,456
124.0,288.0,458
239.0,288.0,460
240.0,288.0,462
241.0,288.0,464
242.0,288.0,466
243.0,288.0,468
244.0,288.0,470
245.0,288.0,472
246.0,288.0,474
263.0,288.0,476
264.0,288.0,478
265.0,288.0,480
266.0,288.0,482
267.0,288.0,484
268.0,288.0,486
269.0,288.0,488
270.0,288.0,490
271.0,288.0,492
272.0,288.0,494
273.0,288.0,496
274.0,288.0,498
275.0,288.0,500
276.0,288.0,502
277.0,288.0,504
278.0,288.0,506
303.0,288.0,508
304.0,288.0,510
305.0,288.0,512
306.0,288.0,514
307.0,288.0,516
308.0,288.0,518
309.0,288.0,520
310.0,288.0,522
311.0,288.0,524
312.0,288.0,526
313.0,288.0,528
314.0,288.0,530
315.0,288.0,532
316.0,288.0,534
317.0,288.0,536
318.0,288.0,538
343.0,288.0,540
344.0,288.0,542
345.0,288.0,544
346.0,288.0,546
347.0,288.0,548
348.0,288.0,550
349.0,288.0,552
350.0,288.0,554
351.0,288.0,556
352.0,288.0,558
353.0,288.0,560
354.0,288.0,562
355.0,288.0,564
356.0,288.0,566
357.0,288.0,568
358.0,288.0,570
439.0,288.0,572
440.0,288.0,574
441.0,288.0,576
442.0,288.0,578
443.0,288.0,580
444.0,288.0,582
445.0,288.0,584
446.0,288.0,586
447.0,288.0,588
448.0,288.0,590
449.0,288.0,592
450.0,288.0,594
451.0,288.0,596
452.0,288.0,598
453.0,288.0,600
454.0,288.0,602
479.0,288.0,604
480.0,288.0,606
481.0,288.0,608
482.0,288.0,610
483.0,288.0,612
484.0,288.0,614
485.0,288.0,616
486.0,288.0,618
487.0,288.0,620
488.0,288.0,622
489.0,288.0,624
490.0,288.0,626
491.0,288.0,628
492.0,288.0,630
493.0,288.0,632
494.0,288.0,634
575.0,288.0,636
576.0,288.0,638
577.0,288.0,640
578.0,288.0,642
579.0,288.0,644
580.0,288.0,646
581.0,288.0,648
582.0,288.0,650
599.0,288.0,652
600.0,288.0,654
601.0,288.0,656
602.0,288.0,658
603.0,288.0,660
604.0,288.0,662
605.0,288.0,664
606.0,288.0,666
607.0,288.0,668
608.0,288.0,670
609.0,288.0,672
610.0,288.0,674
611.0,288.0,676
612.0,288.0,678
613.0,288.0,680
614.0,288.0,682
639.0,288.0,684
640.0,288.0,686
641.0,288.0,688
642.0,288.0,690
643.0,288.0,692
644.0,288.0,694
645.0,288.0,696
646.0,288.0,698
647.0,288.0,700
648.0,288.0,702
649.0,288.0,704
650.0,288.0,706
651.0,288.0,708
652.0,288.0,710
653.0,288.0,712
654.0,288.0,714
679.0,288.0,716
680.0,288.0,718
681.0,288.0,720
682.0,288.0,722
683.0,288.0,724
684.0,288.0,726
685.0,288.0,728
686.0,288.0,730
687.0,288.0,732
688.0,288.0,734
689.0,288.0,736
690.0,288.0,738
691.0,288.0,740
692.0,288.0,742
693.0,288.0,744
694.0,288.0,746
719.0,288.0,748
720.0,288.0,750
721.0,288.0,752
722.0,288.0,754
723.0,288.0,756
724.0,288.0,758
725.0,288.0,760
726.0,288.0,762
727.0,288.0,764
728.0,288.0,766
729.0,288.0,768
730.0,288.0,770
731.0,288.0,772
732.0,288.0,774
733.0,288.0,776
734.0,288.0,778
759.0,288.0,780
760.0,288.0,782
761.0,288.0,784
762.0,288.0,786
763.0,288.0,788
764.0,288.0,790
765.0,288.0,792
766.0,288.0,794
767.0,288.0,796
768.0,288.0,798
769.0,288.0,800
770.0,288.0,802
771.0,288.0,804
772.0,288.0,806
773.0,288.0,808
774.0,288.0,810
799.0,288.0,812
800.0,288.0,814
801.0,288.0,816
802.0,288.0,818
803.0,288.0,820
804.0,288.0,822
805.0,288.0,824
806.0,288.0,826
807.0,288.0,828
808.0,288.0,830
809.0,288.0,832
810.0,288.0,834
811.0,288.0,836
812.0,288.0,838
813.0,288.0,840
106.0,192.0,842
814.0,288.0,842
133.0,384.0,844
134.0,384.0,846
135.0,384.0,848
